Tweet,Sentiment
"_ @carberygaa  U21 A Football Championship Quarter Final 
31mins 2nd half
@carberyrangers: 1-12(15)
@IlenRoversGaa: 0-12(12)
Daragh Hayes pt",neutral
@Twitugal Euro cup(which he didn't play final) means nothing. Even if messi wins copa and no world cup some will st https://t.co/zF2Wk5uk75,negative
"Just a thought, but it would be best practice for the GAA to send a copy of Corofin's 1st half displays from the 20 https://t.co/YxRtFoyKEp",positive
Barnsley footballer reveals how he tried to play on with broken leg https://t.co/KDoBvAxqbF https://t.co/hrSPYlraP9,neutral
"@FIFocus Ive got 6 of the top 7 risers  however also have the 2 top fallers 
Part &amp; parcel of Football Index tr https://t.co/IkUW8ovjqB",neutral
@Darren16C @PayneProcoach @SwansOfficial Yikes.  That is tough Clarkie for me to believe that training is going to https://t.co/FOl4XbnQ31,neutral
@ThiccVermeil @mviser @ngreenberg Its not a football game-  its good to reach across the aisle.  We need more of it,positive
@RichLoyalty_ent @MikePri75807268 @dazalin4 @daboot02 @LSUfootball @DemetricDWarren @ChadSimmons_ Not too dumb to r https://t.co/YfqFSErYzI,negative
The state of American football fans probably doesnt even know why the rivalry exists and then bangs on about winn https://t.co/xA7UR5UsHk,negative
"I know brilliant female writers, producers and directors (thats what happens when you live in LA) that would jump https://t.co/QjmRUv6fqF",positive
@Demetrius82 i know all kinds of people try to gain an advantage in football but this was the dirtiest of dirty players,neutral
I think its well past time we make the football (soccer) version of A League of Their Own to tell the stories of L https://t.co/47dawP3wsl,neutral
HBD to the  himself! https://t.co/s7XJnOTF3K,neutral
Massive thanks to @ManUtd for donating a signed squad football to help me raise money for #CysticFibrosis at my cha https://t.co/AJJNB0HKFl,positive
"In 1920, 53,000 spectators showed up to Goodison Park (14,000 more were turned away) for a match btw Dick Kerr Ladi https://t.co/YrHtxlANbG",neutral
learn. eat. football. sleep. repeat.,neutral
Two Florence-Carlton Student-Athletes signing at @BattlinBears @Rocky_Football @Rocky_Football: Spencer Jones for f https://t.co/teT9wUj1zd,neutral
I just saw the worst football fan in the world. They had both Dallas Cowboys and New England Patriots bumper sticke https://t.co/IWXnWDlWfi,negative
i want one more high school football game..,positive
"@thimons_tyler Tyler, Coach Jeff at PrepStar - just watched your Jr. year highlights - very impressive!  If your go https://t.co/cvy856mUm0",positive
Chelsea REJECT Eden Hazard bid - but Blues may be FORCED into Real Madrid sale https://t.co/vs155Gw9Pr,neutral
We cant wait to meet you all tomorrow night  stop by the Football Boosters table tomorrow night so you dont miss https://t.co/PaeBq8qR2y,positive
@lucasgraves8 PrepStar Magazine has identified you as a top college prospect via HUDL. Step 1 complete the athletic https://t.co/4S0TUOPRYC,neutral
@aquilani04 @LungaN_ @Sponge_Nhleko @DonStein21 haha trust me football career is short. invest that money into prop https://t.co/vSjLakmzVX,neutral
"Talk about Ronaldo's work rate all you want, but Messi makes football looks easy.",positive
Concordia vs Hermannstadt Football [HD] Stream on any OS- 18-Mar - Romanian Liga 1 https://t.co/fffQqEWpWl,neutral
@LukeClapham84 The question is - who is the worst manager ever in the history of chelsea football club,negative
"Charity Barn Dance with Five Finger Eddie Buckland Athletic Football Club, Newton Abbot on 29.03.19. Donations to M https://t.co/VU7rOUZn6f",neutral
"@Jas1875x Even though its gets spoken about loads, I still feel the terribleness of this game doesnt get spoken a https://t.co/3BXqgSa7Rr",negative
Congratulations to RB #21 Pedro Avila @pedro_avila21 class of 2019 from Shafter High School (CA) on his recent offe https://t.co/c64FhPM4V9,neutral
"@purplebootspol @goldilocksrocks I've only been once. It was for football, strangely. And it pissed down.",negative
@undalumni Colorado. I watch all the hockey and football games I can!,positive
"What a football club, Fuck allams https://t.co/N3aGSCk0rz",neutral
"@robocopssk @DC_CHILLIN_8 @Foley4Real Hey Duron, how many football teams have you been kicked off of including coll https://t.co/kCDFG33OHi",neutral
Reintroducing Newcastle United's 6ft South African teenage striker who is back from injury https://t.co/Nq95fzDoBv #nufc #toonarmy,neutral
@ledredman @sholaoladejo @catsinbelfry @DavidLammy @the3million I take it you are also in the realm of football her https://t.co/7Gjnyrp6aN,neutral
Real Madrid and Spain legend Iker Casillas reveals Newcastle is his favourite English team https://t.co/XUsoozvJkN #nufc #toonarmy,neutral
Former referee disagrees with Rafa Benitezs take on Newcastle United penalty blow https://t.co/bKfPUbxmiw #nufc #toonarmy,neutral
"@RYLShellShocked @unitedlogy @kwabenarock Kmft.

Im about to stop watching football. ",neutral
We are going up! I just guided Bristol reds to play-off glory in Non-League C https://t.co/wCkOQm2vQ1 [Free App],neutral
"Howzat, football. Fuck off! #TippingPoint https://t.co/FfgdWOvP1O",neutral
"@__sargee 1) Is this for real? Or are you just trolling for  and giggles?
and
2) I didnt know football/soccer was https://t.co/1DAJo7vqam",neutral
"Izzo: ""I think football kicks our butt. And I mean that,"" specifically their selection committee putting experts to determine seeds.",neutral
"WALLY HALL: Fall is jarring for UA basketball, football https://t.co/aGQ9JF0eUC",neutral
@Dario_0sm love the game my guy love of the game just a man who watches football.,positive
@tikaij2 @RichLoyalty_ent @dazalin4 @daboot02 @LSUfootball @DemetricDWarren @ChadSimmons_ I am a BAMA football fan! https://t.co/AmiDHXMDfV,neutral
@riceNeggs @LodgrenTZ @ProFootballTalk Because he couldnt stand in the pocket because his o line sucks. You dont https://t.co/1hmdrmXWTo,negative
Absolutely floored that vice sports exists.  What niche could this possibly be serving?  I assume some combination https://t.co/8tRPjaWGcX,neutral
@undisputed @RealSkipBayless Question. Why are you guys STILL talking about a guy who cant get his head out of his https://t.co/lBZWdU4A2m,negative
Massive shout out to @JulianHanses for sending this amazing prize win to my F3 and F1 and football mad son. You hav https://t.co/7aMvYvodnB,positive
@lindeloaf The ones who don't say Fergie started watching football last week,neutral
"Today I wish there were pubs that showed live parliamentary proceedings on a big screen.  Think of sports bars, but https://t.co/c8GhqTEqzc",neutral
@sportbible Who has the highest free kick conversation rate in world football?,neutral
@bensalvi23 I cant say Id ever prefer to watch football than play tbh.,neutral
@lauracrickwales @flinthigh @NorthopCC @CricketWales @5x60flintshire @northwaleslive @sport_wales @YAFlintshire https://t.co/oKFbvyjUkF,neutral
"_ @carberygaa  U21 A Football Championship Quarter Final 
32mins 2nd half
@carberyrangers: 1-12(15)
@IlenRoversGaa: https://t.co/WjbwctADDK",neutral
@tHeHomeyMarkyD @marotta215 @bruthafrank He means during the months football isn't on.,negative
@megz0wandrum @Diggers71 @talkingbaws Nobody asked for your opinion on Dundee and how they or any smaller club play https://t.co/wuZwW09aVK,neutral
"Week 6 | Match Highlights | SG&amp;Martini FC V Thecary FC

#football #skills #sunday #mood #mfl #MadeForLegends https://t.co/ATvxImLY9G",neutral
@KJMoochrichard Nah brother the ratings dont lie! Im using that as a generality in itself. Most if not all Michig https://t.co/gODCqAV7kD,negative
Warwickshire Cou ty Football Match tonight 7.30,neutral
Olivier Giroud proves he's Chelsea's man for the Europa League as Sarri drops future hint https://t.co/KqfNRTF3tA,neutral
@kallengutridge PrepStar Magazine has identified you as a top college prospect via HUDL. Step 1 complete the athlet https://t.co/8laDxUnpFB,neutral
@FCBarcelona @GaryLineker @RealBetis Football fans everywhere love Messi,positive
@AdamSchefter @diannaESPN Good!!! Dirtiest player in football. F that guy.,positive
Mike Kinsella's Part-Time Job Is His College Band - National Football League News - https://t.co/wBqNHWigso https://t.co/B0UAXFwz5B,neutral
What is football now  https://t.co/CMTHXk0ieo,neutral
"How boring is this whole ticket Saga between #Pompey and #SAFC now? Who cares how many tickets each side has sold, https://t.co/Bq4AmPOYpz",negative
@Darren16C @PayneProcoach @SwansOfficial That being said Clarkie you are the expert here and mine is just opinion s https://t.co/ra9k8oJ6uZ,neutral
"@ThorDeRoland @El_Cobbie @TiReverend @terstenagranit @LitSego @ChelseaFC Apparently, Idolatry is allowed in modern football, kontinu!!!",neutral
"@BlahhJohnson Hate? Always congratulate. ALWAYS! If its a argument about Greatest College football players, he has https://t.co/18o08MIb8h",negative
"I've had about 3 sips of bucks fizz n im already chanting southgate ur the one u still turn me on to folk.

+2 lad https://t.co/rjkhBZX2Tr",negative
We enjoyed an amazing visit with local author @martinsmith1979 . #inspiring #charliefry #football https://t.co/sihkrZkb4E,positive
Austrian football?? https://t.co/FEOOvBfpAI,neutral
"Scott Putney was born in Boston, MA and later relocated to Westechester, NY. He played baseball, basketball and foo https://t.co/jSg4zakxbX",neutral
@jordanforster7 tbh mate think last game in england is bigger deal than first in Wales as from now on you can pop u https://t.co/U8HWV8jMRn,neutral
Looking forward to getting back into Scotland duty for the UEFA Elite qualifiers with the womens u17s again this w https://t.co/darVg3viMM,positive
"@houstonnotmark Im arguing that your point of a football game in 2016 is irrelevant when 1)its basketball season
2)its 2019",negative
"Help us congratulate EFA Coach, Steve Evans, for being selected to the University of North Alabama Team of the Dec https://t.co/ZtksBtdkKZ",neutral
Has Football Developed an Unhealthy Obsession With Grief? https://t.co/IbSm1kuwxP,neutral
Real Madrid make first official bid for Eden Hazard https://t.co/Too9rUHTWX https://t.co/ikCqxrVq18,neutral
@Qwash14  definitely my worst moment of football ever bruh. I was so hurt,negative
Thanks to coach Jackson and Lewis &amp; Clark Football for the Junior Day invite! https://t.co/iZGEltRrjf,neutral
@ChuckBoothSport Should start calling it football ,neutral
LE FOOTBALL https://t.co/oR3KbMvvi7 via @YouTube,neutral
@Football__Tweet @sandeep_lali this was us going home Saturday,neutral
"@VirenDsilva 1.We need a spanish or South American football coach
2.Release all the foreign players and bring Spani https://t.co/f6QgBCaV4l",neutral
"Liverpool, Scottish football no thanks, Atletico, Dortmund, Lyon, Napoli 

More clubs than @A17RNN https://t.co/vPxLJY1T2e",neutral
"@talkSPORTDrive Whether the City game is replayed or not there needs to be some resignations from the FA, they are https://t.co/hHDYAObn4O",neutral
"When I'm on the #football field I want to be known as a #player, not as a #girl ~ @karlieharman #LikeAGirl #Equality #LeanIn",neutral
"Police called to Latham Park after ""confrontation"" between rival football fans at the weekend https://t.co/0mOcYRMn31",neutral
 # (16-Mar-19) #RPL at https://t.co/Fe9wzGpCB7,neutral
"Christian Eriksen dreams of a move to Real Madrid...Just how many Spurs players could be leaving this summer? 
https://t.co/BkSQCdDtmV",neutral
@Nike present the national team kits for the Women's World Cup this summer https://t.co/gKi0g0NLVC,neutral
Memphis Express of Alliance of American Football give Johnny Manziel another chance https://t.co/QpQHVfgjEV #americanfootball,neutral
Samuel retiring another football. @FadaretemitopeA https://t.co/tJut5DLzJb,neutral
@DebraKe98192288 @jemelehill Played college football in Hampton roads at the only trade school the ncaa recognizes,neutral
This is why we pay him 290k per week. Offers nothing in terms of football https://t.co/3Tfras6K7t,neutral
@KevinK_EFC1878 @Everton What team did u play for I used to love alot of the American sports Baseball-Texas Rangers https://t.co/y9X1X59egu,positive
Guys &amp; Gals plz give this page a follow @veteransvs its for a charity football game between Veterans and Celebs the https://t.co/u5mXWemZKL,neutral
"@QPR_Ash I bite more at Dave Edwards than he ever will, literally a massive fraud of world football",negative
"Brentford are investigating after West Brom fans made a complaint about the behaviour of defender Julian Jeanvier 

https://t.co/YFPp6ExNdC",neutral
A tribute will be paid to the victims of the Christchurch shootings before England's match against the Czech Republ https://t.co/Mb5mSspZq4,neutral
Jim Harbaugh says Ben Mason is playing both sides of the football right now. Says fullback will be used in short ya https://t.co/ZowuWXkTlF,neutral
 #FCRK (16-Mar-19) #RPL at https://t.co/5G4mHkeSkm,neutral
"Richest football clubs in the world 2019
https://t.co/0SsTTZyiMT",neutral
@obrien_jonathan @CookyLad None Man City fans suddenly pointing out easy cup runs after every single football fan i https://t.co/im3IAeqiLD,neutral
@nickbaumgardner Differnts to tramplings is them trying to football get. Cant get and built trampolines good #Rolltide,positive
The year 6s have arrived at Hillcrest. Having a great time playing basketball and football ,positive
@robert_hosch76 @NBCSports DP Show no longer on NBCSN. They're re-airing Pro Football Talk from 9-11 and then Sky Sports News at 11.,neutral
@BeauGleason @MySportsUpdate @diannaESPN football fans in general,neutral
@GivingTheKSD videographer for a football club of which i've already forgotten,negative
Penalty shoot out at break along with a kick up challenge #sportsweek #teamclifton #football https://t.co/M9BAwc76N1,neutral
"Dave Gettleman says the OBJ trade was one the Giants couldn't refuse.

https://t.co/93yMhCt2dy",neutral
I hate when its not football season.,negative
@Football__Tweet @Europeanelite11 Incredible that Rooney began so high while playing for Everton in the Premier Lea https://t.co/zS360Ew52c,neutral
"A 12 point deduction is not only a harsh, but also very high standard of punishment for them to meet every other ti https://t.co/RGQmt7FKj3",negative
"Thought of making an account to voice my opinion on football! A follow would be much appreciated, lets see where this account goes",positive
"Football start this week, I gotta start squatting again ",positive
"Fans shouldnt expect Man Utds Scott McTominay to be Scottish George Best, warns Alex McLeish https://t.co/88g0EAEHJy",neutral
"#inplay

Over 1.5 goals

#betting #bettingtipster #tips #football #epl #SerieA #spfl #Bundesliga #LaLiga #ligue1 https://t.co/RypTptuNFI",neutral
This is a very poor explanation. We are not ruthless enough. The Toffees realized that at half time and simply got https://t.co/hcfpqe8wzA,negative
90min_Football : Christian Eriksen dreams of a move to Real Madrid...Just how many Spurs players could be leaving t https://t.co/Pju10gHuba,neutral
"The Malaysia  national team may be playing to near empty football stands at the Airmarine Cup 

https://t.co/0TcXLwXsrd",neutral
"Hope its both legs.
I dont care if they say Juve got knocked out because of CRs absence!

Arrogance has no place https://t.co/JRDn0uw8Nx",negative
@kobby_gooner @mrxbone World class means the highest class..and if you think Ozil and Fab are among the highest cla https://t.co/IpnqAujsZB,neutral
@Football__Tweet Why  didn't write mohamed lol,negative
A French couple has been barred from calling their son Griezmann Mbappe after their World Cup football heroes. https://t.co/zZ9V0cnVqe,neutral
browns are good now... get over it https://t.co/OnV39oByxA,neutral
@coolnessak88 @MattBC_ You've proved you know little about football but well done ,neutral
"Goldberg, The Rock, and Brock Lesnar should be reminders for those losing their minds over DK Metcalf that being ja https://t.co/OimY3ZzC4d",neutral
"You'll always be the reason I stuck with orange &amp; stripes, @King55Tez. 

I will also defend you to my grave. 

We a https://t.co/VKmsL5jmg8",negative
"I hate the international break, absolute shit! No football on TV, meaningless friendlies",negative
Hot Takes: Episode 7 https://t.co/jHHFYM81Bt via @YouTube This weeks debate is about #football. What is your take? https://t.co/Ya0GeIbH57,neutral
"@coxchat @LutonTown Not a football one, but I always liked former Aussie rugby captain John Eales' nickname of ""Nob https://t.co/HaAjsqyhP8",neutral
@eab314 Because of spring football practices?,neutral
@TheNonsense44 @bigricnyc @tyler_misyak @art_stapleton Sorry I thought we going to actually have a real conversatio https://t.co/sKTh1zss9d,neutral
@Abdul_Muhsin10 @totalBarca Football is ALL about goals you idiot. The whole point of football is putting it at the https://t.co/Ak247LyuPB,negative
"@whiskey_girl33 @JByGodRod No do that for football J. Or track &amp; field, or cross country, or... Wait, it's almost l https://t.co/heNIT1QmkY",neutral
"""Excellent insight into tactical analysis of the game &amp; individual players &amp; reflects on the work that goes on with https://t.co/iKKWGXTSZ4",positive
My 10 year old niece is already better than my 14 year old nephew at football and Im never gonna let him forget it,positive
"@TonyBasilio @beanojeff Shouldn't we file Dickie V's pick of UT to go the the final game with the original Beano, B https://t.co/1duo4IP52R",negative
"https://t.co/4R5238WPiW
Wow this would have been wierd.",neutral
Im really ready for some New York Football man ! No more of these niggas putting weave in their hair and crying on the sidelines.,negative
"Fan violence, firebombs and teargas force Greek derby to be abandoned

https://t.co/9fmNmzAzWn",neutral
@surreypomp @PropPersonnel @darrenbox @SunderlandEcho @pn_neil_allen Bigoted and narrow minded. Which I find most o https://t.co/HI5T2fiUge,neutral
unpopular opinion: football edition https://t.co/oRwJVHzn0n,neutral
"Seven to go..

https://t.co/HCYHW453Jp",neutral
"If you are a highschool football fan,   please salute the American flag proudly or put your hand over your heart so https://t.co/50bMI7KFkX",neutral
@stinkyteenandy in the context of high school football i can see where the confusion stems,neutral
@abkayus @ArsenalNexus How was it obvious to you? Do u know anything about pro football?,neutral
"@ChelseaFC sarri type of football is not for EPL and sarri dont know how to get players, chelsea dont need higuain https://t.co/wUd9emkZCO",neutral
@ShamoonHafez Did FA/PL have a minutes silence after Charlie Hebdo? I know they did after Paris Nov 2015 attacks b https://t.co/CGnec33wVH,negative
We're still selling raffle tickets for the opportunity to win this amazing historic MUFC memorabilia . Share with https://t.co/aocS7cSkzw,positive
@pghsportskipper You dont seem to understand football enough to continue this convo. You really dont ... the fact https://t.co/p4S6PcIrWm,negative
NEW: Manny Diazs New Miami begins Tuesday on a football field with QB question at forefront. https://t.co/laIvIpCNAb,neutral
Rio de Janeiro state reclaims Maracana stadium and cancels contract with private group. Brazil's iconic football st https://t.co/5iE5uGRnbz,neutral
@MrDtAFC @YouTube What's the point of this vedio? We already know there are no potential signings with that scumbag https://t.co/vUCVpQryRi,negative
@stevenWduke @EyeoftheGator @KarlSafchick Same. Those two guys and @EDH_27 are what got me into dynasty football,neutral
"TO THE KID OUTSIDE IN MY YARD, YOU SCARED THE LIVING CLUSTERFUCK OUT OF ME WITH YOUR FOOTBALL. DEAR LORD.",negative
"Elite Academics Power 5 Football !! 
#CampInformation https://t.co/qpvrPRKjJQ",neutral
US third-tier side Richmond Kickers announce Charles Boateng signing fromWAFA https://t.co/daS92JJ1wN,neutral
"The whole concept of this looks dodgy in my opinion BBC News - OWNAFC: Football fans call for refunds over club app
https://t.co/QvlY82hukm",negative
"""They love the traditional rivalries between their cities and communities"" - interesting piece here from https://t.co/oVChFWTTGr",neutral
"@CarlBanksGIII Man, football Twitter is a cesspool.",neutral
"@ChadinJax Bracket guy and Fantasy football team guy got into a fight...,they both lost. #GreenLotGangsters",negative
